ingredient_id,ingredient_name,category,price_per_unit,unit,source,shelf_life_days,calories_per_100g
I001,กระเทียม,เครื่องเทศ,60,กิโลกรัม,สวนผัก,30,149
I002,พริกขี้หนูสด,เครื่องเทศ,120,กิโลกรัม,สวนผัก,7,40
I003,ข่า,เครื่องเทศ,80,กิโลกรัม,สวนผัก,14,51
I004,ตะไคร้,เครื่องเทศ,60,กิโลกรัม,สวนผัก,14,99
I005,ใบมะกรูด,เครื่องเทศ,150,กิโลกรัม,สวนผัก,7,80
I006,รากผักชี,เครื่องเทศ,60,กิโลกรัม,สวนผัก,7,25
I007,ผักชี,ผัก,60,กิโลกรัม,สวนผัก,7,23
I008,โหระพา,ผัก,80,กิโลกรัม,สวนผัก,5,23
I009,กะเพรา,ผัก,90,กิโลกรัม,สวนผัก,5,25
I010,พริกชี้ฟ้าแดง,เครื่องเทศ,100,กิโลกรัม,สวนผัก,7,40
I011,พริกแห้ง,เครื่องเทศ,200,กิโลกรัม,ตลาดสด,180,324
I012,ขิง,เครื่องเทศ,70,กิโลกรัม,สวนผัก,21,80
I013,หอมแดง,เครื่องเทศ,100,กิโลกรัม,สวนผัก,30,40
I014,หอมใหญ่,เครื่องเทศ,60,กิโลกรัม,สวนผัก,30,40
I015,มะเขือเทศ,ผัก,50,กิโลกรัม,สวนผัก,7,18
I016,มะนาว,ผลไม้,150,กิโลกรัม,สวนผลไม้,7,29
I017,มะขามเปียก,เครื่องปรุง,120,กิโลกรัม,ตลาดสด,180,239
I018,กุ้งสด,อาหารทะเล,350,กิโลกรัม,ตลาดสด,2,99
I019,ปลานิล,อาหารทะเล,100,กิโลกรัม,ตลาดสด,2,96
I020,ปลาทับทิม,อาหารทะเล,120,กิโลกรัม,ตลาดสด,2,96
I021,หมูสันใน,เนื้อสัตว์,180,กิโลกรัม,ตลาดสด,3,143
I022,หมูสามชั้น,เนื้อสัตว์,200,กิโลกรัม,ตลาดสด,3,518
I023,อกไก่,เนื้อสัตว์,110,กิโลกรัม,ตลาดสด,3,165
I024,เนื้อวัว,เนื้อสัตว์,350,กิโลกรัม,ตลาดสด,3,250
I025,ไข่ไก่,ไข่,5,ฟอง,ฟาร์ม,30,155
I026,ข้าวสารหอมมะลิ,ธัญพืช,45,กิโลกรัม,โรงสี,365,130
I027,ก๋วยเตี๋ยวเส้นใหญ่,แป้ง,50,กิโลกรัม,ตลาดสด,180,364
I028,วุ้นเส้น,แป้ง,70,กิโลกรัม,ตลาดสด,365,351
I029,ถั่วงอก,ผัก,30,กิโลกรัม,ตลาดสด,3,30
I030,กะทิ,เครื่องปรุง,60,ลิตร,ตลาดสด,5,230
I031,น้ำปลา,เครื่องปรุง,30,ขวด 700 มล.,ตลาดสด,365,10
I032,ซีอิ๊วขาว,เครื่องปรุง,35,ขวด 700 มล.,ตลาดสด,365,60
I033,ซีอิ๊วดำ,เครื่องปรุง,40,ขวด 700 มล.,ตลาดสด,365,83
I034,น้ำตาลทราย,เครื่องปรุง,25,กิโลกรัม,ตลาดสด,730,387
I035,น้ำตาลปี๊บ,เครื่องปรุง,60,กิโลกรัม,ตลาดสด,365,383
I036,เกลือ,เครื่องปรุง,15,กิโลกรัม,ตลาดสด,1825,0
I037,ผงปรุงรส,เครื่องปรุง,12,ซอง,ตลาดสด,365,30
I038,ซอสหอยนางรม,เครื่องปรุง,75,ขวด 600 มล.,ตลาดสด,365,80
I039,พริกไทย,เครื่องเทศ,700,กิโลกรัม,ตลาดสด,365,251
I040,น้ำมันพืช,เครื่องปรุง,55,ขวด 1 ลิตร,ตลาดสด,365,884
I041,กระเทียมดอง,เครื่องเทศ,100,กิโลกรัม,ตลาดสด,180,120
I042,ผักชีฝรั่ง,ผัก,100,กิโลกรัม,สวนผัก,7,15
I043,ใบสะระแหน่,ผัก,120,กิโลกรัม,สวนผัก,5,44
I044,ผักบุ้ง,ผัก,40,กิโลกรัม,สวนผัก,3,19
I045,คะน้า,ผัก,50,กิโลกรัม,สวนผัก,5,28
I046,ปลาร้า,เครื่องปรุง,120,กิโลกรัม,ตลาดสด,180,200
I047,กะปิ,เครื่องปรุง,250,กิโลกรัม,ตลาดสด,365,160
I048,มะละกอดิบ,ผลไม้,30,กิโลกรัม,สวนผลไม้,7,28
I049,มันฝรั่ง,ผัก,45,กิโลกรัม,ตลาดสด,30,77
I050,มะเขือ,ผัก,40,กิโลกรัม,สวนผัก,7,25
I051,ถั่วฝักยาว,ผัก,60,กิโลกรัม,สวนผัก,5,33
I052,ใบตอง,อื่นๆ,20,กิโลกรัม,ตลาดสด,3,0
I053,เต้าหู้,ถั่ว,60,กิโลกรัม,ตลาดสด,5,76
I054,เห็ดฟาง,เห็ด,120,กิโลกรัม,ฟาร์ม,5,35
I055,เห็ดหอม,เห็ด,350,กิโลกรัม,ฟาร์ม,7,34
I056,ขนมจีน,แป้ง,40,กิโลกรัม,ตลาดสด,1,109
I057,ขมิ้น,เครื่องเทศ,150,กิโลกรัม,สวนผัก,30,354
I058,กุ้งแห้ง,อาหารทะเล,450,กิโลกรัม,ตลาดสด,180,325
I059,ปูม้า,อาหารทะเล,400,กิโลกรัม,ตลาดสด,1,115
I060,ผักกาดขาว,ผัก,35,กิโลกรัม,สวนผัก,7,12
I061,ลูกชิ้นหมู,เนื้อสัตว์,120,กิโลกรัม,ตลาดสด,5,260
I062,เส้นหมี่,แป้ง,45,กิโลกรัม,ตลาดสด,180,350
I063,แตงกวา,ผัก,35,กิโลกรัม,สวนผัก,7,15
I064,มะม่วงดิบ,ผลไม้,60,กิโลกรัม,สวนผลไม้,7,65
I065,ลำไยแห้ง,ผลไม้,250,กิโลกรัม,ตลาดสด,180,277
I066,อบเชย,เครื่องเทศ,600,กิโลกรัม,ตลาดสด,365,261
I067,กานพลู,เครื่องเทศ,900,กิโลกรัม,ตลาดสด,365,323
I068,ฟักทอง,ผัก,25,กิโลกรัม,สวนผัก,30,20
I069,หัวปลี,ผัก,20,กิโลกรัม,สวนผัก,5,25
I070,กระเพาะปลา,อาหารทะเล,1500,กิโลกรัม,ตลาดสด,7,352
