dish_id,dish_name,dish_type,region,spicy_level,cooking_time_minutes,difficulty_level,description
D001,ต้มยำกุ้ง,ต้ม,กลาง,4,30,3,ต้มยำกุ้งน้ำใสรสจัด หอมสมุนไพรไทย กุ้งสด เป็นอาหารยอดนิยมของไทย
D002,ผัดไทย,ผัด,กลาง,2,20,2,ก๋วยเตี๋ยวผัดกับไข่ เต้าหู้ และถั่วงอก ปรุงรสด้วยน้ำปลา น้ำตาล มะนาว
D003,แกงเขียวหวานไก่,แกง,กลาง,3,45,3,แกงกะทิรสเผ็ดอ่อนๆ หอมเครื่องแกง มีมะเขือ และพริกเป็นส่วนประกอบ
D004,ส้มตำไทย,ยำ,อีสาน,4,15,1,ตำมะละกอสดกับมะเขือเทศ ถั่วฝักยาว และกุ้งแห้ง ปรุงรสเปรี้ยวหวานเผ็ด
D005,ผัดกะเพราไก่,ผัด,กลาง,4,15,1,ไก่สับผัดกับกระเพรา พริก กระเทียม รสจัด นิยมทานกับข้าวและไข่ดาว
D006,แกงมัสมั่น,แกง,ใต้,2,90,4,แกงกะทิเครื่องเทศหอมจากมัสมั่น มีเนื้อสัตว์และมันฝรั่ง รสหวานมัน
D007,ลาบหมู,ยำ,อีสาน,4,20,2,หมูสับปรุงรสด้วยข้าวคั่ว น้ำปลา มะนาว หอมใบสะระแหน่และผักชี
D008,ข้าวผัดกระเทียม,ผัด,กลาง,1,15,1,ข้าวผัดกับกระเทียมและพริกไทย เสิร์ฟพร้อมแตงกวาและผักชี
D009,แกงส้มผักรวม,แกง,ใต้,3,30,2,แกงรสเปรี้ยวจากมะนาวหรือส้มมะขาม ใส่ผักตามฤดูกาล
D010,ยำวุ้นเส้น,ยำ,กลาง,3,20,1,วุ้นเส้นยำกับกุ้ง หมูสับ หอมใหญ่ และเครื่องปรุงรสเปรี้ยวหวานเผ็ด
D011,ผัดซีอิ๊ว,ผัด,กลาง,1,15,2,ก๋วยเตี๋ยวเส้นใหญ่ผัดกับซีอิ๊วดำ ไข่ และผักคะน้า
D012,ต้มข่าไก่,ต้ม,เหนือ,2,30,2,ต้มกะทิใส่ข่า ตะไคร้ ใบมะกรูด รสเปรี้ยวนำจากมะนาว
D013,พะแนงหมู,แกง,กลาง,2,45,3,แกงกะทิข้นใส่เนื้อหมู รสหวานนำเค็มตาม ใส่ใบมะกรูดหั่นฝอย
D014,ไข่พะโล้,ตุ๋น,กลาง,0,60,2,ไข่และเนื้อหมูตุ๋นกับซีอิ๊วและเครื่องเทศ รสหวานเค็ม
D015,ห่อหมกปลา,นึ่ง,กลาง,2,40,3,ปลาห่อใบตองนึ่งกับพริกแกง กะทิ และใบโหระพา
D016,ผัดผักบุ้งไฟแดง,ผัด,กลาง,3,10,1,ผักบุ้งผัดกับพริก กระเทียม น้ำมันหอย รสกลมกล่อม
D017,แกงป่าไก่,แกง,อีสาน,5,40,3,แกงน้ำใสรสจัด เผ็ดร้อน ใส่สมุนไพรไทยหลายชนิด
D018,น้ำพริกอ่อง,น้ำพริก,เหนือ,3,30,2,น้ำพริกเนื้อสับผัดกับเครื่องแกง กินกับผักสด หรือผักลวก
D019,ข้าวซอย,แกง,เหนือ,2,60,3,ก๋วยเตี๋ยวในน้ำแกงกะทิกับเนื้อไก่หรือเนื้อวัว เสิร์ฟพร้อมหอมแดงดอง
D020,ขนมจีนน้ำยา,แกง,ใต้,2,45,3,เส้นขนมจีนราดด้วยน้ำยาปลาทำจากปลาและเครื่องแกง
D021,ผัดเปรี้ยวหวาน,ผัด,กลาง,1,20,2,ผัดเนื้อสัตว์กับผักและซอสเปรี้ยวหวาน
D022,ไข่เจียวปู,ทอด,กลาง,0,15,2,ไข่ทอดกับเนื้อปู หอมใบและพริกไทย
D023,ปลาทอดน้ำปลา,ทอด,กลาง,1,25,2,ปลาทอดกรอบราดด้วยน้ำปลา พริก กระเทียมสด
D024,ส้มตำปูปลาร้า,ยำ,อีสาน,5,20,2,ตำมะละกอใส่ปลาร้า ปูดอง รสจัดกว่าส้มตำไทย
D025,ข้าวมันไก่,ต้ม,กลาง,0,60,3,ข้าวหุงกับน้ำมันไก่ เสิร์ฟพร้อมไก่ต้ม น้ำจิ้ม และแตงกวา
D026,แกงเลียง,แกง,กลาง,1,25,2,แกงน้ำใสใส่ผักหลายชนิด รสหวานจากฟักทอง
D027,ผัดพริกแกงหมู,ผัด,ใต้,4,20,2,หมูผัดกับพริกแกงและใบกระเพรา
D028,ยำปลาดุกฟู,ยำ,กลาง,3,40,3,ปลาดุกทอดกรอบยำกับมะม่วง หอมแดง และน้ำยำรสจัด
D029,ข้าวคลุกกะปิ,ผัด,กลาง,2,30,2,ข้าวคลุกกับกะปิ หมูหวาน ไข่เจียว และผักสด
D030,ต้มโคล้งปลากรอบ,ต้ม,อีสาน,4,30,3,ต้มปลาทอดกับพริกแห้ง ตะไคร้ รสเปรี้ยวเผ็ด
D031,หอยทอด,ทอด,กลาง,1,20,2,แป้งทอดกับไข่และหอยแมลงภู่ ทานกับถั่วงอกและซอสพริก
D032,หมูสะเต๊ะ,ปิ้ง/ย่าง,ใต้,1,40,2,หมูหมักเสียบไม้ย่าง ทานคู่กับน้ำจิ้มถั่วและอาจาด
